iteracao: 0, space occ: 9
iteracao: 1, space occ: 19
iteracao: 2, space occ: 25
iteracao: 3, space occ: 35
iteracao: 4, space occ: 40
iteracao: 5, space occ: 55
iteracao: 6, space occ: 62
iteracao: 7, space occ: 70
iteracao: 8, space occ: 77
iteracao: 9, space occ: 79
iteracao: 10, space occ: 85
iteracao: 11, space occ: 90
iteracao: 12, space occ: 97
iteracao: 13, space occ: 102
iteracao: 14, space occ: 107
iteracao: 15, space occ: 110
iteracao: 16, space occ: 112
iteracao: 17, space occ: 115
iteracao: 18, space occ: 119
iteracao: 19, space occ: 120
iteracao: 20, space occ: 126
iteracao: 21, space occ: 130
iteracao: 22, space occ: 133
iteracao: 23, space occ: 133
iteracao: 24, space occ: 136
iteracao: 25, space occ: 137
iteracao: 26, space occ: 139
iteracao: 27, space occ: 142
iteracao: 28, space occ: 148
iteracao: 29, space occ: 156
iteracao: 30, space occ: 158
iteracao: 31, space occ: 160
iteracao: 32, space occ: 164
iteracao: 33, space occ: 166
iteracao: 34, space occ: 171
iteracao: 35, space occ: 171
iteracao: 36, space occ: 175
iteracao: 37, space occ: 175
iteracao: 38, space occ: 176
iteracao: 39, space occ: 179
iteracao: 40, space occ: 182
iteracao: 41, space occ: 182
iteracao: 42, space occ: 184
iteracao: 43, space occ: 186
iteracao: 44, space occ: 187
iteracao: 45, space occ: 188
iteracao: 46, space occ: 188
iteracao: 47, space occ: 188
iteracao: 48, space occ: 188
iteracao: 49, space occ: 190
iteracao: 50, space occ: 191
iteracao: 51, space occ: 191
iteracao: 52, space occ: 191
iteracao: 53, space occ: 191
iteracao: 54, space occ: 191
iteracao: 55, space occ: 191
iteracao: 56, space occ: 191
iteracao: 57, space occ: 191
iteracao: 58, space occ: 192
iteracao: 59, space occ: 192
iteracao: 60, space occ: 193
iteracao: 61, space occ: 193
iteracao: 62, space occ: 193
iteracao: 63, space occ: 193
iteracao: 64, space occ: 194
iteracao: 65, space occ: 194
iteracao: 66, space occ: 194
iteracao: 67, space occ: 195
iteracao: 68, space occ: 196
iteracao: 69, space occ: 196
iteracao: 70, space occ: 196
iteracao: 71, space occ: 197
iteracao: 72, space occ: 198
iteracao: 73, space occ: 200
iteracao: 74, space occ: 201
iteracao: 75, space occ: 202
iteracao: 76, space occ: 202
iteracao: 77, space occ: 202
iteracao: 78, space occ: 204
iteracao: 79, space occ: 204
iteracao: 80, space occ: 206
iteracao: 81, space occ: 207
iteracao: 82, space occ: 208
iteracao: 83, space occ: 210
iteracao: 84, space occ: 210
iteracao: 85, space occ: 210
iteracao: 86, space occ: 210
iteracao: 87, space occ: 210
iteracao: 88, space occ: 211
iteracao: 89, space occ: 213
iteracao: 90, space occ: 213
iteracao: 91, space occ: 213
iteracao: 92, space occ: 213
iteracao: 93, space occ: 213
iteracao: 94, space occ: 213
iteracao: 95, space occ: 213
iteracao: 96, space occ: 213
iteracao: 97, space occ: 213
iteracao: 98, space occ: 213
iteracao: 99, space occ: 216
